OID_	IDENT	NAME	UPPER_DESC	UPPER_VAL	UPPER_UOM	UPPER_CODE	LOWER_DESC	LOWER_VAL	LOWER_UOM	LOWER_CODE	TYPE_CODE	LOCAL_TYPE	CLASS	MIL_CODE	COMM_NAME	LEVEL	SECTOR	ONSHORE	EXCLUSION	WKHR_CODE	WKHR_RMK	DST	GMTOFFSET	SHAPE_Leng	SHAPE_Area	AirCheck
0	MHK	MANHATTAN CLASS E4	AA	-9998	 	 	 	0	FT	SFC	CLASS	CLASS_E4	E	CIVIL	 	L	 	1	0	H24	 	 	 	0.143832165	0.000899128	Fail
1	NFL	FALLON CLASS E2	AA	-9998	 	 	 	0	FT	SFC	CLASS	CLASS_E2	E	CIVIL	 	L	 	1	0	NOTAM	Legal description references NOTAM	 	 	0.68123673	0.033482927	Fail
2	YKM	YAKIMA CLASS E2	AA	-9998	 	 	 	0	FT	SFC	CLASS	CLASS_E2	E	CIVIL	 	L	 	1	0	NOTAM	Legal description references NOTAM	 	 	0.943900799	0.037934298	Fail
3	HRL	HARLINGEN AIRPORT CLASS C	TI	4000	FT	MSL	 	1500	FT	MSL	CLASS	CLASS_C	C	CIV	 	L	 	1	0	NOTAM	Legal description references NOTAM	 	 	0.468529957	0.012673361	Pass
4	HRL	HARLINGEN AIRPORT CLASS C	TI	4000	FT	MSL	 	1200	FT	MSL	CLASS	CLASS_C	C	CIV	 	L	 	1	0	NOTAM	Legal description references NOTAM	 	 	0.603375813	0.017555744	Pass
5	HSV	HUNTSVILLE INTERNATIONAL-CARL T. JONES FIELD CLASS C	TI	4600	FT	MSL	 	0	FT	SFC	CLASS	CLASS_C	C	CIV	 	L	 	1	0	NOTAM	Legal description references NOTAM	 	 	0.596069143	0.026050472	Fail
6	HSV	HUNTSVILLE INTERNATIONAL-CARL T. JONES FIELD CLASS C	TI	4600	FT	MSL	 	2000	FT	MSL	CLASS	CLASS_C	C	CIV	 	L	 	1	0	NOTAM	Legal description references NOTAM	 	 	1.306111341	0.05075526	Pass
7	HSV	HUNTSVILLE INTERNATIONAL-CARL T. JONES FIELD CLASS C	TI	4600	FT	MSL	 	2400	FT	MSL	CLASS	CLASS_C	C	CIV	 	L	 	1	0	NOTAM	Legal description references NOTAM	 	 	0.800264941	0.029129584	Pass
8	PHX	PHOENIX CLASS B	TI	9000	FT	MSL	 	7000	FT	MSL	CLASS	CLASS_B	B	CIV	 	L	AREA T	1	0	H24	 	 	 	0.70551506	0.02456335	Pass
9	PHX	PHOENIX CLASS B	TI	9000	FT	MSL	 	3400	FT	MSL	CLASS	CLASS_B	B	CIV	 	L	AREA U	1	0	H24	 	 	 	0.213812098	0.001283334	Pass
